country,points,price
US,86,50.0
Italy,92,48.0
France,89,19.0
US,92,34.0
US,84,20.0
Australia,96,120.0
Chile,83,17.0
Spain,86,19.0
Chile,90,235.0
France,88,23.0
Italy,87,22.0
Spain,92,50.0
US,92,39.0
US,90,25.0
Portugal,86,11.0
Italy,89,25.0
Spain,88,20.0
Italy,86,22.0
Portugal,85,
South Africa,90,25.0
US,92,42.0
Italy,94,75.0
Hungary,89,70.0
US,85,15.0
US,84,22.0
France,90,54.0
US,89,20.0
US,88,150.0
France,86,17.0
Chile,87,15.0
Portugal,90,
US,85,35.0
Germany,85,10.0
Spain,84,11.0
US,92,85.0
US,85,28.0
Chile,89,23.0
Italy,85,13.0
Italy,86,18.0
US,93,35.0
Italy,92,45.0
US,86,15.0
Italy,89,28.0
US,89,16.0
Germany,90,12.0
Italy,92,41.0
US,90,30.0
France,84,22.0
US,84,40.0
France,91,
Chile,87,13.0
US,85,10.0
Portugal,87,12.0
Canada,90,30.0
US,84,75.0
Argentina,87,19.0
Italy,92,55.0
US,84,36.0
New Zealand,91,50.0
Greece,89,21.0
US,87,25.0
Spain,83,19.0
US,88,16.0
US,92,45.0
Australia,85,20.0
Portugal,84,
South Africa,90,65.0
US,94,75.0
Slovenia,88,27.0
Italy,88,
France,87,23.0
France,87,12.0
Chile,90,24.0
US,82,22.0
France,83,15.0
Portugal,90,26.0
US,92,38.0
France,89,48.0
US,87,15.0
Italy,87,15.0
US,84,18.0
France,87,45.0
New Zealand,86,27.0
Italy,85,
US,90,42.0
Portugal,89,57.0
Portugal,92,
US,86,26.0
US,85,15.0
Italy,90,88.0
Italy,86,10.0
US,87,30.0
Italy,87,28.0
US,90,30.0
Italy,87,25.0
US,83,20.0
Spain,88,17.0
South Africa,89,19.0
Argentina,83,10.0
US,83,17.0
Italy,91,40.0
Chile,86,18.0
France,87,17.0
Portugal,84,8.0
France,92,78.0
US,88,18.0
US,86,9.0
France,87,13.0
US,86,25.0
US,92,25.0
US,82,19.0
Spain,89,48.0
Italy,87,
Italy,92,54.0
France,89,44.0
Italy,86,24.0
US,83,8.0
France,93,
Italy,89,60.0
US,84,10.0
US,86,40.0
Austria,90,26.0
France,89,115.0
Chile,85,10.0
Argentina,82,12.0
Italy,87,26.0
Italy,84,8.0
US,89,25.0
Spain,86,9.0
Italy,85,10.0
US,91,25.0
US,86,38.0
Argentina,90,167.0
Italy,88,
France,92,19.0
US,87,16.0
New Zealand,90,17.0
US,90,27.0
Italy,91,26.0
Italy,93,
France,86,19.0
Italy,88,29.0
Italy,88,16.0
France,92,60.0
US,86,18.0
Austria,87,15.0
Argentina,86,20.0
US,88,20.0
US,84,16.0
US,91,36.0
Australia,94,89.0
US,87,40.0
Portugal,90,13.0
Portugal,84,8.0
Argentina,84,5.0
US,87,49.0
US,85,10.0
Italy,86,10.0
Italy,87,15.0
Spain,82,9.0
US,87,45.0
Argentina,88,50.0
US,90,10.0
US,100,200.0
France,84,10.0
Italy,90,25.0
US,87,95.0
South Africa,89,21.0
US,88,35.0
US,88,20.0
US,86,40.0
France,87,
US,87,50.0
US,94,32.0
France,91,
US,84,13.0
US,91,64.0
US,82,15.0
US,87,25.0
Chile,89,25.0
Germany,87,18.0
South Africa,87,24.0
US,87,24.0
Chile,87,15.0
US,87,25.0
France,80,11.0
US,86,10.0
Germany,85,8.0
Canada,88,15.0
Italy,85,12.0
US,86,15.0
US,86,13.0
Australia,89,23.0
US,84,29.0
US,86,20.0
US,85,12.0
US,84,16.0
US,83,18.0
France,95,
Italy,87,
